ORDEM DO MÉRITO AERONÁUTICO;;;;;;;;;;;
;;;;;;;;;;;
INSÍGNIAS - INSTITUIÇÕES;;;;;;;;;;;
;;;;;;;;;;;
(Atualizada até Outubro de 2020);;;;;;;;;;;
;;;;;;;;;;;
NR;SIGLA_ORG;DESCRIÇÃO;INSTITUICÃO;CATEG;DT_INSIG;DT_DOU;REG;;;;
229;4º/1º GCC;Quarto Esquadrão do Primeiro Grupo de Comunicações e Controle;Aeronáutica;Estandarte;29/09/2009;30/09/2009;10649;;;;
230;4º/7º GAV;Quarto Esquadrão do Sétimo Grupo de Aviação;Aeronáutica;Estandarte;30/09/2010;01/10/2010;11068;;;;
231;V FATA;Quinta Força Aérea de Transporte Aéreo;Aeronáutica;Estandarte;20/09/1985;23/09/1985;4718;;;;
232;V COMAR;Quinto Comando Aéreo Regional;Aeronáutica;Estandarte;21/09/1995;22/09/1995;;;;;
233;EsqdHU-5;Quinto Esquadrão de Helicópteros de Emprego Geral;Marinha;Estandarte;02/10/2017;03/10/2017;13492;;;;
234;5º ETA;Quinto Esquadrão de Transporte Aéreo;Aeronáutica;Estandarte;20/09/2006;21/09/2006;9499;;;;
235;5º/8º GAv;Quinto Esquadrão do Oitavo Grupo de Aviação;Aeronáutica;Estandarte;26/09/2000;27/09/2000;;;;;
236;5º/1º GCC;Quinto Esquadrão do Primeiro Grupo de Comunicações e Controle;Aeronáutica;Estandarte;21/10/2011;24/10/2011;;;;;
237;5º GAC Ap;Quinto Grupo de Artilharia de Campanha Autopropulsado;Exército;Estandarte;04/12/1987;21/10/2015;12832;;;;
238;RSD;Regimento Santos-Dumont;Exército;Estandarte;12/10/1964;12/10/1964;1271;;;;
239;SECIRM;Secretaria da Comissão Interministerial para Recursos do Mar do CMB;Marinha;Estandarte;21/10/2011;24/10/2011;;;;;
240;SEFA;Secretaria de Economia e Finanças;Aeronáutica;Bandeira;16/09/1998;17/09/1998;7565;;;;
241;SGM;Secretaria-Geral da Marinha;Marinha;Estandarte;;21/10/2015;12829;;;;
242;;Secretariat of the Air Force;Outros;Estandarte;26/09/2005;27/09/2005;9483;;;;
243;2ª ELO;Segunda Esquadrilha de Ligação e Observação;Aeronáutica;Bandeira;28/09/1999;29/09/1999;7761;;;;
244;II FAE;Segunda Força Aérea;Aeronáutica;Estandarte;28/09/1999;29/09/1999;7762;;;;
245;2º BAvEx;Segundo Batalhão de Aviação do Exército;Exército;Estandarte;25/08/1993;13/10/2016;13160;;;;
246;2º BPC;Segundo Batalhão de Polícia de Choque SP - Marechal Mascarenhas de Moraes;Polícia Militar;Estandarte;13/10/2020;14/10/2020;14576;;;;
247;II COMAR;Segundo Comando Aéreo Regional;Aeronáutica;Estandarte;08/09/1989;22/09/1989;5486;;;;
248;2°/10° GAV;Segundo do Décimo Grupo de Aviação;Aeronáutica;Estandarte;01/09/1987;08/09/1987;5046;;;;
249;2°/2° GT;Segundo do Segundo Grupo de Transporte;Aeronáutica;Estandarte;23/09/1997;24/09/1997;7124;;;;
250;2° EF;Segundo Esquadrão de Fragatas;Marinha;Bandeira;16/09/1998;17/09/1998;7566;;;;
251;HU-2;Segundo Esquadrão de Helicópteros de Emprego Geral;Marinha;Estandarte;18/09/1986;13/10/2016;13159;;;;
252;2º ETA;Segundo Esquadrão de Transporte Aéreo;Aeronáutica;Estandarte;21/10/2011;24/10/2011;;;;;
253;2º/8º GAV;Segundo Esquadrão do Oitavo Grupo de Aviação;Aeronáutica;Estandarte;25/09/2008;26/09/2008;10014;;;;
254;2º/1º GCC;Segundo Esquadrão do Primeiro Grupo de Comunicações e Controle;Aeronáutica;Estandarte;21/10/2011;24/10/2011;;;;;
255;2º/5º GAV;Segundo Esquadrão do Quinto Grupo de Aviação;Aeronáutica;Estandarte;24/10/2013;24/10/2013;12109;;;;
256;2° RCC;Segundo Regimento de Carros de Combate;Exército;Bandeira;26/09/2001;27/09/2001;8366;;;;
257;SRPV-SP;Serviço Regional de Proteção ao Voo de São Paulo;Aeronáutica;Estandarte;27/06/1947;16/10/2018;13506;;;;
258;7º BEC;Sétimo Batalhão de Engenharia de Combate;Exército;Estandarte;17/10/2002;18/10/2002;8598;;;;
259;VII COMAR;Sétimo Comando Aéreo Regional;Aeronáutica;Estandarte;01/10/2003;02/10/2003;8988;;;;
260;7º DN;Sétimo Distrito Naval;Marinha;Estandarte;12/09/1990;;5716;;;;
261;7º/8º GAV;Sétimo Esquadrão do Oitavo Grupo de Aviação;Aeronáutica;Estandarte;29/09/2009;30/09/2009;10647;;;;
262;6ª Div-Ex;Sexta Divisão de Exército - Divisão Voluntários da Pátria;Exército;Estandarte;01/09/1987;02/09/1987;5048;;;;
263;VI FAE;Sexta Força Aérea;Aeronáutica;Estandarte;14/10/1992;15/10/1992;6222;;;;
264;6º BgdIL;Sexto Batalhão de Infantaria Leve - Regimento Ipiranga;Exército;Estandarte;17/10/2002;18/10/2002;8596;;;;
265;VI COMAR;Sexto Comando Aéreo Regional;Aeronáutica;Bandeira;02/10/1978;03/10/1978;3118;;;;
266;SBC;Sociedade Brasileira de Cartografia;Outros;Estandarte;17/10/2002;18/10/2002;8593;;;;
267;STM;Superior Tribunal Militar;Forças Armadas;Bandeira;16/10/1957;23/10/1957;525;;;;
268;FAE III;Terceira Força Aérea;Aeronáutica;Estandarte;20/09/2006;21/09/2006;9497;;;;
269;3º B SUP;Terceiro Batalhão de Suprimento do Exército;Exército;Bandeira;28/09/1999;29/09/1999;7763;;;;
270;III COMAR;Terceiro Comando Aéreo Regional;Aeronáutica;Bandeira;15/09/1981;22/09/1981;3804;;;;
271;EsqdHU-3;Terceiro Esquadrão de Helicópteros de Emprego Geral;Marinha;Estandarte;31/01/1994;16/10/2018;13507;;;;
272;3°/10° GAV;Terceiro Esquadrão do Décimo Grupo de Aviação;Aeronáutica;Estandarte;17/10/2002;18/10/2002;8595;;;;
273;3º/8º GAV;Terceiro Esquadrão do Oitavo Grupo de Aviação;Aeronáutica;Estandarte;13/10/2020;14/10/2020;14574;;;;
274;3º/1º GCC;Terceiro Esquadrão do Primeiro Grupo de Comunicações e Controle;Aeronáutica;Estandarte;30/09/2010;01/10/2010;11069;;;;
275;3º/7º GAV;Terceiro Esquadrão do Sétimo Grupo de Aviação;Aeronáutica;Estandarte;13/10/2020;14/10/2020;14575;;;;
276;3° GAAAÉ;Terceiro Grupo de Artilharia Antiaérea;Exército;Estandarte;23/09/1993;15/10/1993;;;;;
277;3° ROb 105-Ex;"Terceiro Regimento de Obuses 105 ""Regimento Mallet";Exército;Bandeira;25/10/1966;26/10/1966;1474;;;;
278;TCB;Touring Club do Brasil;Outros;Estandarte;28/09/1999;29/09/1999;7764;;;;
279;32° GAC;Trigésimo Segundo Grupo de Artilharia de Campanha - Bateria Caiena;Exército;Estandarte;06/09/2004;08/09/2004;9230;;;;
280;UNIFA;Universidade da Força Aérea;Aeronáutica;Estandarte;26/09/2001;27/09/2001;;;;;
281;20° GACL;Vigésimo Grupo de Artilharia de Campanha Leve - Grupo Bandeirante;Exército;Estandarte;20/09/2006;21/09/2006;9502;;;;
282;29° GAC-Ex;Vigésimo Nono Grupo de Artilharia de Campanha - Grupo Humaitá;Exército;Bandeira;05/10/1977;13/10/1977;;;;;
283;21° GAC;Vigésimo Primeiro Grupo de Artilharia de Campanha - Grupo Monte Bastione;Exército;Estandarte;20/09/2006;21/09/2006;9503;;;;
